"MES","DIA","HORA","PROVINCIA","CANTON","ZONA","NUM_FALLECIDO","NUM_LESIONADO","TOTAL_VICTIMAS","CLASE","CAUSA"
"ABRIL","SÁBADO","14:00 A 14:59","MORONA SANTIAGO","GUALAQUIZA","RURAL",0,3,3,"CHOQUES","NO RESPETA LAS SEÑALES DE TRÁNSITO"
"MAYO","MARTES","04:00 A 04:59","TUNGURAHUA","AMBATO","RURAL",0,0,0,"ESTRELLAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JULIO","LUNES","23:00 A 23:59","GUAYAS","SAN JACINTO DE YAGUACHI","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"SEPTIEMBRE","DOMINGO","03:00 A 03:59","IMBABURA","OTAVALO","RURAL",2,2,4,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"SEPTIEMBRE","MARTES","10:00 A 10:59","SANTO DOMINGO DE LOS TSÁCHILAS","SANTO DOMINGO","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ENERO","DOMINGO","18:00 A 18:59","EL ORO","PASAJE","RURAL",0,3,3,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"OCTUBRE","DOMINGO","18:00 A 18:59","EL ORO","EL GUABO","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"SEPTIEMBRE","MIÉRCOLES","20:00 A 20:59","AZUAY","CUENCA","RURAL",0,0,0,"ESTRELLAMIENTOS","EMBRIAGUEZ O DROGA"
"MARZO","DOMINGO","04:00 A 04:59","IMBABURA","COTACACHI","RURAL",0,1,1,"PÉRDIDA DE PISTA","EMBRIAGUEZ O DROGA"
"FEBRERO","JUEVES","22:00 A 22:59","ORELLANA","LORETO","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JUNIO","SÁBADO","19:00 A 19:59","GUAYAS","NARANJAL","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"OCTUBRE","DOMINGO","04:00 A 04:59","GUAYAS","NARANJAL","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"NOVIEMBRE","SÁBADO","19:00 A 19:59","AZUAY","GUALACEO","RURAL",1,0,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","VIERNES","00:00 A 00:59","GUAYAS","MILAGRO","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"FEBRERO","SÁBADO","01:00 A 01:59","CHIMBORAZO","GUANO","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JUNIO","DOMINGO","02:00 A 02:59","EL ORO","HUAQUILLAS","RURAL",0,0,0,"ESTRELLAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"FEBRERO","VIERNES","16:00 A 16:59","LOS RÍOS","VALENCIA","RURAL",1,0,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"OCTUBRE","LUNES","18:00 A 18:59","TUNGURAHUA","AMBATO","RURAL",0,1,1,"CHOQUES","NO RESPETA LAS SEÑALES DE TRÁNSITO"
"FEBRERO","MIÉRCOLES","06:00 A 06:59","GUAYAS","PALESTINA","RURAL",0,0,0,"ESTRELLAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","JUEVES","19:00 A 19:59","PICHINCHA","DISTRITO METROPOLITANO DE QUITO","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MARZO","SÁBADO","15:00 A 15:59","AZUAY","CAMILO PONCE ENRIQUEZ","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MAYO","DOMINGO","07:00 A 07:59","AZUAY","GUALACEO","RURAL",0,0,0,"PÉRDIDA DE PISTA","MAL REBASAMIENTO INVADIR CARRIL"
"MARZO","MIÉRCOLES","09:00 A 09:59","LOJA","CALVAS","RURAL",1,0,1,"CAÍDA DE PASAJEROS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
